compound_id,compound_name,peak_id,delta_H,intensity,source_file
HMDB0000001,HMDB0000001,1,3.04,0.0589,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,2,3.06,0.0609,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,3,3.07,0.11,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,4,3.09,0.1135,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,5,3.14,0.1072,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,6,3.15,0.1115,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,7,3.17,0.0585,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,8,3.18,0.057,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,9,3.68,1.0,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,10,3.95,0.0964,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,11,3.95,0.1092,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,12,3.96,0.1042,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,13,3.97,0.0885,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,14,7.0,0.2369,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,15,7.67,0.223,HMDB0000001_nmroned_1022_27891.txt
HMDB0000002,HMDB0000002,1,2.04,0.0892,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,2,2.05,0.0902,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,3,2.06,0.1702,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,4,2.06,0.0961,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,5,2.06,0.0867,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,6,2.07,0.3608,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,7,2.07,0.0918,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,8,2.08,0.0962,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,9,2.08,0.1921,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,10,2.08,0.0934,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,11,2.09,0.1002,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,12,3.1,1.0,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,13,3.11,0.8901,HMDB0000002_nmroned_1023_27894.txt
